target_id	length	eff_length	est_counts	tpm
AAC73461	774	675	6	0.72147
AAC73463	366	267	555	168.715
AAC73464	906	807	1323.53	133.116
AAC73466	1197	1098	71.3692	5.27569
AAC73467	558	459	0	0
AAC73468	963	864	0	0
AAC73469	768	669	28	3.39706
AAC73470	828	729	35	3.89683
AAC73471	852	753	193	20.8033
AAC73472	975	876	1203	111.463
AAC73475	867	768	192.8	20.3759
AAC73476	300	201	89.2	36.0197
AAC73478	624	525	33	5.10182
AAC73479	1158	1059	179	13.7192
AAC73480	1221	1122	250	18.085
AAC73481	1095	996	411	33.4929
AAC73482	309	210	114	44.0612
AAC73483	213	114	283	201.49
AAC73484	1095	996	1364	111.154
AAC73485	261	162	32	16.0327
AAC73486	1416	1317	224	13.8049
AAC73487	321	222	19	6.94659
AAC73488	1116	1017	143	11.4126
AAC73489	810	711	293	33.4479
AAC73490	459	360	435	98.0748
AAC73491	525	426	1898	361.624
AAC73492	192	93	510	445.101
AAC73493	678	579	471	66.0257
AAC73494	285	186	1061	462.992
AAC73496	912	813	510	50.9156
AAC73497	909	810	309	30.9631
AAC73499	1185	1086	202	15.0971
AAC73500	3147	3048	807	21.4897
AAC73501	1203	1104	352	25.8788
AAC73502	690	591	231	31.7245
AAC73503	1296	1197	360	24.4106
AAC73504	1320	1221	2666	177.221
AAC73505	1374	1275	1232	78.428
AAC73506	1815	1716	546	25.8254
AAC73507	582	483	147	24.7025
AAC73508	1071	972	864	72.147
AAC73509	1128	1029	4934	389.184
AAC73510	333	234	2882	999.652
AAC73511	1848	1749	9250	429.262
AAC73512	972	873	3008	279.663
AAC73513	348	249	355	115.718
AAC73514	885	786	1290	133.21
AAC73515	540	441	97	17.8527
AAC73516	450	351	648	149.844
AAC73517	1104	1005	1624	131.157
AAC73518	471	372	2570	560.739
AAC73519	420	321	3139	793.701
AAC73520	978	879	639	59.0042
AAC73521	519	420	1961	378.965
AAC73522	975	876	1014	93.9517
AAC73523	1863	1764	2684	123.497
AAC73524	900	801	1466	148.55
AAC73525	243	144	659	371.444
AAC73526	1449	1350	2184	131.308
AAC73527	591	492	637	105.086
AAC73528	912	813	294	29.3513
AAC73529	492	393	829	171.211
AAC73530	1365	1266	995	63.7911
AAC73531	891	792	8719	893.537
AAC73532	330	231	2859	1004.55
AAC73533	615	516	4861	764.622
AAC73534	1992	1893	19477	835.107
AAC73535	948	849	8211	784.981
AAC73536	1476	1377	1563	92.1289
AAC73537	579	480	1204	203.59
AAC73538	318	219	483	179.009
AAC73539	1299	1200	14750	997.658
AAC73540	624	525	2226	344.141
AAC73541	1275	1176	7473	515.773
AAC73542	2355	2256	5044	181.471
AAC73543	273	174	3421	1595.79
AAC73544	1872	1773	4193	191.95
AAC73545	372	273	70	20.8116
AAC73546	399	300	94	25.4318
AAC73547	696	597	230	31.2697
AAC73548	1701	1602	161	8.15707
AAC73549	819	720	228	25.7024
AAC73550	459	360	239	53.8848
AAC73551	1773	1674	725	35.1523
AAC73552	1782	1683	725	34.9643
AAC73553	339	240	1	0.338189
AAC73554	1287	1188	111	7.58363
AAC73555	861	762	368	39.198
AAC73556	573	474	94	16.0961
AAC73557	390	291	127	35.4227
AAC73558	354	255	707	225.035
AAC73559	1551	1452	575	32.1419
AAC73560	471	372	753	164.294
AAC73561	552	453	1369	245.288
AAC73562	219	120	896	606.035
AAC73563	375	276	1712	503.461
AAC73564	3150	3051	1954	51.982
AAC73565	1194	1095	916	67.8973
AAC73566	648	549	159	23.5069
AAC73567	3363	3264	2376	59.0836
AAC73568	162	63	108	139.141
AAC73569	528	429	462	87.4089
AAC73570	378	279	160	46.5465
AAC73571	552	453	1380	247.259
AAC73572	1932	1833	3811	168.751
AAC73573	330	231	1706	599.429
AAC73574	606	507	3454	552.949
AAC73575	1875	1776	2741	125.267
AAC73576	645	546	3017	448.491
AAC73577	963	864	324	30.437
AAC73578	960	861	100	9.42687
AAC73579	1305	1206	857	57.6772
AAC73580	1677	1578	2501	128.64
AAC73581	1221	1122	237	17.1446
AAC73582	1653	1554	718	37.5011
AAC73583	480	381	285	60.7143
AAC73584	795	696	528	61.5737
AAC73585	342	243	676	225.793
AAC73586	2505	2406	1200	40.4815
AAC73587	933	834	2	0.194641
AAC73588	1293	1194	137	9.31295
AAC73589	408	309	629	165.22
AAC73590	459	360	506	114.082
AAC73591	918	819	371	36.7672
AAC73592	678	579	149	20.8871
AAC73593	780	681	218	25.9825
AAC73594	855	756	1174	126.043
AAC73595	810	711	698	79.6814
AAC73596	627	528	660	101.457
AAC73597	687	588	387	53.4201
AAC73598	2415	2316	694	24.3216
AAC73599	4281	4182	481.184	9.33896
AAC73600	369	270	92	27.6564
AAC73605	1095	996	339	27.6256
AAC73606	927	828	2	0.196052
AAC73607	483	384	0	0
AAC73608	816	717	915	103.579
AAC73609	1782	1683	100	4.82266
AAC73610	777	678	5	0.598565
AAC73611	879	780	0	0
AAC73613	1455	1356	0	0
AAC73614	1362	1263	78	5.01259
AAC73615	1302	1203	9	0.607222
AAC73616	1146	1047	36	2.79079
AAC73617	786	687	184	21.7386
AAC73618	1236	1137	136	9.70844
AAC73619	1050	951	0	0
AAC73620	1668	1569	0	0
ABD18638	1260	1161	0	0
AAC73622	816	717	29	3.28284
AAC73623	894	795	187	19.0917
AAC73624	1068	969	521	43.64
AAC73625	510	411	135	26.6602
AAC73626	723	624	706	91.8314
AAC73627	495	396	1886	386.56
AAC73628	1386	1287	1147	72.3362
AAC73629	522	423	427	81.9329
AAC73630	213	114	532	378.772
AAC73631	867	768	1365	144.259
AAC73632	543	444	0	0
AAC73633	693	594	0	0
AAC73634	2604	2505	127	4.11497
AAC73635	984	885	7	0.641986
AAC73636	516	417	0	0
AAC73637	633	534	12	1.82394
AAC73638	1164	1065	1267	96.5601
AAC73641	300	201	89.2	36.0197
AAC73642	867	768	192.8	20.3759
AAC73644	333	234	290	100.59
AAC73645	1527	1428	46	2.61457
AAC73646	552	453	17	3.04594
AAC73647	798	699	194	22.5266
ABP93435	102	9.46048	0	0
AAC73648	456	357	0	0
AAC73649	171	72	0	0
AAC73650	291	192	0	0
AAC73651	363	264	0	0
ABD18639	141	42.0007	0	0
AAC73652	384	285	33	9.3981
AAC73653	1017	918	2650.34	234.331
AAC73655	216	117	10	6.93721
AAC73656	498	399	218	44.346
AAC73657	462	363	249.823	55.8594
ABD18640	183	84	0	0
AAC73658	294	195	371	154.422
AAC73659	411	312	36	9.36524
AAC73660	207	108	73	54.8618
ABP93436	195	96	0	0
AAC73661	546	447	52.6934	9.56796
AAC73665	750	651	132	16.4575
AAC73666	954	855	7216	685.017
AAC73667	762	663	88	10.7731
AAC73668	891	792	165	16.9095
AAC73669	2973	2874	475	13.4146
AAC73670	2238	2139	391	14.8367
AAC73671	1443	1344	519	31.3429
AAC73672	684	585	510	70.7596
AAC73673	1374	1275	155	9.86716
AAC73674	333	234	70	24.2802
AAC73675	1224	1125	214	15.4395
AAC73676	3144	3045	255	6.7971
AAC73677	1377	1278	1746	110.888
AAC73678	1248	1149	813	57.4303
AAC73679	654	555	1856	271.429
AAC73680	369	270	226	67.9384
AAC73681	249	150	193	104.433
AAC73682	1119	1020	98	7.79824
AAT48125	153	54	22	33.0674
AAC73683	1113	1014	1246.33	99.7625
AAC73684	621	522	74	11.5062
AAC73685	2241	2142	241	9.13205
AAC73686	1203	1104	63	4.63172
ABD18641	219	120	4	2.70551
AAC73687	3882	3783	284	6.0933
AAC73688	1134	1035	14	1.09789
AAC73689	816	717	100	11.3201
AAC73690	993	894	175	15.8881
AAC73691	1005	906	372	33.3262
AAC73692	1251	1152	226	15.9231
AAC73693	957	858	128	12.1086
AAC73694	1176	1077	134	10.0986
AAC73695	1611	1512	126	6.76378
AAC73696	858	759	63	6.73705
AAC73697	747	648	223	27.9319
AAC73698	414	315	93	23.9631
AAC73699	2106	2007	2354	95.1985
ABD18642	198	99	229	187.746
AAC73700	1089	990	763	62.5547
AAC73701	1161	1062	206	15.7439
AAC73702	630	531	76	11.6169
AAC73703	1221	1122	93	6.72761
AAC73704	903	804	247	24.9351
AAC73705	747	648	526	65.8843
AAC73706	564	465	8197	1430.78
AAC73707	1566	1467	3948	218.433
AAC73708	429	330	1373	337.697
AAC73709	1239	1140	315	22.4273
AAC73711	411	312	1481	385.275
AAC73712	807	708	1325	151.899
AAC73713	1464	1365	133	7.90842
AAC73714	879	780	0	0
AAC73715	552	453	13	2.32925
AAC73716	1533	1434	48	2.71683
AAC73717	909	810	8	0.801633
AAC73718	297	198	36	14.7573
AAC73719	1059	960	119	10.0611
AAC73720	1659	1560	491	25.5463
AAC73721	681	582	525	73.2162
AAC73722	1386	1287	1447	91.2559
AAC73723	561	462	67	11.7707
AAC73724	210	111	38045	27819.3
AAC73725	384	285	223	63.5084
AAC73728	204	105	384	296.833
AAC73729	966	867	5383	503.937
AAC73730	954	855	285	27.0551
AAC73731	642	543	1003	149.924
AAC73732	264	165	247	121.502
AAC73733	1212	1113	2840	207.107
AAC73734	1089	990	3742	306.789
AAC73735	1113	1014	2597	207.876
AAC73736	1902	1803	3753	168.948
AAC73737	468	369	2197	483.253
AAC73738	318	219	2538	940.629
AAC73739	612	513	476	75.3114
AAC73740	642	543	789	117.936
AAC73741	1032	933	2386	207.568
AAC73742	582	483	2390	401.626
AAC73743	2583	2484	13883	453.631
AAC73744	483	384	282	59.6058
AAC73745	978	879	183	16.8979
AAC73746	708	609	0	0
AAC73747	1428	1329	231	14.1078
AAC73748	555	456	45	8.00974
AAC73749	708	609	63	8.39642
AAC73750	1452	1353	140	8.39849
AAC73751	1671	1572	168	8.67416
AAC73752	936	837	1395	135.276
AAC73753	726	627	1740	225.244
AAC73754	675	576	956	134.712
AAC73755	741	642	646	81.6711
AAC73756	909	810	3767	377.469
AAC73757	1017	918	2650.34	234.331
AAC73758	1539	1440	1892	106.642
AAC73759	879	780	1860	193.548
AAC73760	468	369	788	173.329
AAC73761	1041	942	1124	96.847
AAC73762	1425	1326	1762	107.853
AAC73763	1176	1077	1168	88.0234
AAC73768	1665	1566	1498	77.641
AAC73769	753	654	466	57.8334
AAC73770	1221	1122	765	55.34
AAC73771	1149	1050	451	34.8625
AAC73772	801	702	119	13.7588
AAC73773	1947	1848	1111	48.7959
AAC73774	1665	1566	4903	254.121
AAC73775	1407	1308	164	10.1767
AAC73776	327	228	140	49.8384
AAC73777	447	348	1988	463.669
ABV59574	87	5.29969	168	2572.94
AAC73778	531	432	1785	335.371
AAC73779	294	195	823	342.56
AAC73780	765	666	435	53.0134
AAC73781	546	447	587	106.586
AAC73782	1641	1542	2505	131.854
AAC73783	495	396	75	15.3722
AAC73786	1320	1221	47	3.1243
AAC73787	2199	2100	26	1.0049
ABP93437	258	159	0	0
AAC73788	678	579	143	20.046
AAC73789	2685	2586	208	6.52838
AAC73790	573	474	32	5.47952
AAC73791	2049	1950	46	1.91467
AAC73792	1674	1575	54	2.78281
ABD18643	90	5.86172	0	0
AAC73793	207	108	226	169.846
AAC73794	4194	4095	741.395	14.6949
AAC73796	327	228	20	7.11977
AAC73798	570	471	40	6.89303
AAC73800	762	663	2	0.244843
AAC73801	510	411	48	9.47917
AAC73802	1419	1320	424	26.0713
AAC73803	1482	1383	264	15.4936
AAC73804	744	645	456	57.382
AAC73805	657	558	407	59.2013
AAC73806	933	834	725	70.5574
AAC73807	735	636	470	59.9807
AAC73808	792	693	171	20.0278
AAC73809	1047	948	298	25.514
AAC73810	1062	963	90	7.58555
AAC73811	729	630	12	1.54601
AAC73812	2448	2349	32	1.1057
AAC73813	567	468	17	2.94832
AAC73814	1284	1185	2038	139.591
AAC73815	390	291	1388	387.139
AAC73816	348	249	389	126.801
AAC73817	1767	1668	3204	155.908
AAC73818	717	618	1729	227.079
AAC73820	2802	2703	5622	168.817
AAC73821	1218	1119	4405	319.512
AAC73822	1167	1068	4279	325.194
AAC73823	870	771	2992	314.976
AAC73824	723	624	399	51.899
AAC73825	1977	1878	14	0.605067
AAC73826	2634	2535	89	2.84959
AAC73827	1569	1470	9679	534.422
AAC73828	1140	1041	6507	507.342
ABD18645	114	16.5041	368	1809.78
AAC73829	294	195	753	313.423
AAC73830	405	306	638	169.227
AAC73831	693	594	1140	155.772
AAC73832	429	330	813	199.962
AAC73833	1266	1167	3484	242.314
AAC73834	1293	1194	5962	405.283
AAC73835	522	423	12926	2480.25
AAC73836	792	693	4154	486.524
AAC73837	1044	945	519	44.5765
AAC73838	720	621	341	44.5691
AAC73839	942	843	115	11.0724
AAC73840	381	282	0	0
AAC73841	1053	954	2340	199.085
AAC73842	753	654	2277	282.59
AAC73843	1041	942	651	56.092
AAC73844	1149	1050	566	43.752
AAC73845	1047	948	623	53.3397
AAC73846	1017	918	691	61.0951
AAC73847	1473	1374	699	41.2916
AAC73848	789	690	218	25.6436
AAC73849	150	51	240	381.955
AAC73850	774	675	243	29.2195
AAC73851	690	591	322	44.2221
AAC73852	1059	960	367	31.0289
AAC73853	819	720	242	27.2806
AAC73854	996	897	814	73.6551
AAC73855	954	855	145	13.7649
AAC73856	1053	954	0	0
AAC73857	1434	1335	14	0.851173
AAC73858	2262	2163	222	8.33043
AAC73859	1284	1185	746	51.0965
AAC73860	477	378	262	56.2575
AAC73861	1290	1191	1801	122.736
AAC73862	1041	942	1945	167.587
AAC73863	1155	1056	3414	262.404
AAC73864	756	657	1303	160.972
AAC73865	678	579	1084	151.957
AAC73866	2022	1923	1648	69.5583
AAC73867	909	810	868	86.9772
AAC73868	990	891	1200	109.314
AAC73869	513	414	154	30.192
AAC73870	486	387	210	44.0432
AAC73871	246	147	97	53.5581
AAC73872	453	354	241	55.2567
AAC73873	705	606	371	49.6904
AAC73874	714	615	26	3.43138
AAC73875	957	858	95	8.98684
AAC73876	1242	1143	0	0
AAC73877	762	663	54	6.61076
AAC73878	411	312	320	83.2466
AAC73879	1107	1008	184	14.8159
AAC73880	1134	1035	155	12.1552
AAC73881	1737	1638	121	5.99573
AAC73882	999	900	160	14.4294
AAC73883	672	573	231	32.7211
AAC73884	1365	1266	4895	313.827
AAC73885	483	384	191	40.3713
AAC73886	2151	2052	1517	60.0038
AAC73887	963	864	255	23.9551
AAC73888	1086	987	483	39.7192
AAC73889	261	162	139	69.6419
AAC73890	267	168	4	1.93251
AAC73891	678	579	57	7.99038
AAC73892	2283	2184	186	6.91244
AAC73893	261	162	68	34.0694
AAC73894	927	828	160	15.6841
AAC73895	2226	2127	94	3.587
AAC73896	723	624	105	13.6576
AAC73897	660	561	183	26.4764
AAC73898	747	648	245	30.6875
AAC73899	504	405	145	29.0592
AAC73900	888	789	515	52.9787
AAC73901	516	417	4388	854.086
AAC73902	1584	1485	904	49.4098
AHA50631	129	30.0513	1334	3602.99
AAC73904	468	369	738	162.331
AAC73905	1119	1020	598	47.5852
AAC73906	921	822	1238	122.242
AAC73907	1593	1494	2608	141.686
AAC73908	1266	1167	283	19.6828
AAC73909	816	717	145	16.4142
AAC73910	2433	2334	194	6.74639
AAC73911	900	801	131	13.2742
AAC73912	663	564	133	19.1401
AAC73913	750	651	256	31.9176
AAC73914	1236	1137	304	21.7012
AAC73915	966	867	268	25.0892
AAC73916	1872	1773	193	8.83526
AAC73917	1539	1440	463	26.0969
AAC73918	921	822	210	20.7357
AAC73919	912	813	76	7.58742
AAC73920	2349	2250	100	3.60735
AAC73921	1329	1230	275	18.1467
AAC73922	1326	1227	916	60.5929
AAC73923	384	285	903	257.166
AAC73924	1116	1017	241	19.2339
AAC73925	627	528	477	73.3256
AAC73926	1203	1104	434	31.9074
AAC73927	759	660	396	48.6992
AAC73928	597	498	275	44.8202
AAC73929	1233	1134	257	18.3946
AAC73930	285	186	66	28.8006
AAC73931	816	717	275	31.1304
AAC73932	1209	1110	233	17.0374
AAC73933	537	438	149	27.6111
AAC73934	1686	1587	876	44.8021
AAC73935	378	279	94	27.346
AAC73936	258	159	74	37.7751
AAC73937	288	189	202	86.7482
AAC73938	723	624	149	19.3808
AAC73939	903	804	534	53.9084
AAC73940	477	378	610	130.981
AAC73941	1113	1014	96	7.6843
AAC73942	1134	1035	81	6.35207
AAC73943	954	855	29	2.75298
AAC73944	846	747	74	8.04048
AAC73945	489	390	76	15.8168
AAC73946	1128	1029	249	19.6406
AAC73947	732	633	163	20.9004
AAC73948	669	570	254	36.1684
AAC73949	717	618	419	55.0296
AAC73950	732	633	309	39.621
AAC73951	729	630	346	44.5765
AAC73952	516	417	120	23.3569
